ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-102794-1-430,2025-05-29,1030,1230,2024,102794,1,430,1,26,43,26.0
2024-0-115-102688-1-51,2025-05-29,1500,1700,2024,102688,1,51,1,0,36,26.0
2024-0-115-101748-1-11,2025-05-29,1500,1700,2024,101748,1,11,1,82,82,30.0
2024-0-115-101757-56-22,2025-05-29,1900,2000,2024,101757,56,22,1,25,23,5.0
2024-0-115-102775-55-421,2025-05-29,830,1030,2024,102775,55,421,1,21,15,12.0
2024-0-115-102721-54-321,2025-05-29,1030,1130,2024,102721,54,321,1,19,18,12.0
2024-0-115-103807-1-45,2025-05-29,1500,1700,2024,103807,1,45,1,83,83,30.0
2024-0-115-103802-54-411,2025-05-29,1130,1230,2024,103802,54,411,1,41,36,15.0
2024-0-115-102722-54-321,2025-05-29,1230,1330,2024,102722,54,321,1,33,66,12.0
2024-0-115-106047-1-21,2025-05-29,1130,1230,2024,106047,1,21,1,71,83,45.0
2024-0-115-102769-1-43,2025-05-29,830,1030,2024,102769,1,43,1,74,83,26.0
2024-0-115-102765-54-471,2025-05-29,1700,1800,2024,102765,54,471,1,38,41,38.0
2024-0-115-101764-55-32,2025-05-29,1500,1700,2024,101764,55,32,1,20,14,12.0
2024-0-115-102743-54-411,2025-05-29,830,1030,2024,102743,54,411,1,39,36,50.0
2024-0-115-101757-54-12,2025-05-29,1800,1900,2024,101757,54,12,1,37,35,15.0
2024-0-115-103797-54-311,2025-05-29,930,1030,2024,103797,54,311,1,41,39,12.0
2024-0-115-102685-1-32,2025-05-29,1330,1430,2024,102685,1,32,1,76,89,35.0
2024-0-115-106942-1-61,2025-05-29,1500,1700,2024,106942,1,61,1,50,36,26.0
2024-0-115-102769-1-41,2025-05-29,1030,1230,2024,102769,1,41,1,75,76,26.0
2024-0-115-102691-1-330,2025-05-29,1130,1330,2024,102691,1,330,1,56,78,39.0
2024-0-115-102745-54-415,2025-05-29,930,1030,2024,102745,54,415,1,35,23,12.0
2024-0-115-103807-1-43,2025-05-29,1030,1230,2024,103807,1,43,1,83,84,30.0
2024-0-115-106942-54-611,2025-05-29,1700,1800,2024,106942,54,611,1,50,36,12.0
2024-0-115-102714-1-31,2025-05-29,1130,1330,2024,102714,1,31,1,158,166,60.0
